#Last modified 2019/12/13 
##Summary-------------------------------------------------------------------------
# Free Gas Energy
#N=66 a=1/(100 MeV) at=1/(1000 MeV)
#L  exact   bcc3    bcc3_tr     FG
5   1311.9   1293.4   1308.9   1318.5     
66 9   300       0.1879E+03 0.1317E+00   0.1728E+03 0.1568E+00 3170 4000  # out_L9Lt300Lto5ifread1
66 9   300       0.1878E+03 0.1091E+00   0.1726E+03 0.1298E+00 4720 4000  # out_L9Lt300Lto5ifread2
66 9   400       0.1784E+03 0.2952E+00   0.1616E+03 0.3321E+00 1350 4000  # out_L9Lt400Lto5ifread0
66 9   400       0.1779E+03 0.3945E+00   0.1611E+03 0.4261E+00 2640 4000  # out_L9Lt400Lto5ifread1
66 9   400       0.1780E+03 0.2731E+00   0.1612E+03 0.2982E+00 3910 4000  # out_L9Lt400Lto5ifread2
66 9   500       0.1722E+03 0.8860E+00   0.1542E+03 0.6288E+00 1180 3600  # out_L9Lt500Lto5ifread0
66 9   500       0.1727E+03 0.4388E+00   0.1545E+03 0.3657E+00 2310 3600  # out_L9Lt500Lto5ifread1
66 9   500       0.1728E+03 0.3069E+00   0.1548E+03 0.2720E+00 3440 3600  # out_L9Lt500Lto5ifread2
66 9   600       0.1701E+03 0.7262E+00   0.1512E+03 0.7069E+00 1040 3150  # out_L9Lt600Lto5ifread0
66 9   600       0.1704E+03 0.3827E+00   0.1516E+03 0.3942E+00 2030 3150  # out_L9Lt600Lto5ifread1
66 9   600       0.1707E+03 0.2720E+00   0.1518E+03 0.2897E+00 3020 3150  # out_L9Lt600Lto5ifread2
66 9   700       0.1709E+03 0.4680E+00   0.1516E+03 0.5446E+00 1020 3300  # out_L9Lt700Lto5ifread0
66 9   700       0.1704E+03 0.3168E+00   0.1514E+03 0.3571E+00 1990 3300  # out_L9Lt700Lto5ifread1
66 9   700       0.1704E+03 0.2450E+00   0.1512E+03 0.2763E+00 2960 3300  # out_L9Lt700Lto5ifread2
66 9   800       0.1696E+03 0.6571E+00   0.1497E+03 0.7674E+00 910 3600  # out_L9Lt800Lto5ifread0
66 9   800       0.1700E+03 0.3607E+00   0.1505E+03 0.4124E+00 1790 3600  # out_L9Lt800Lto5ifread1
66 9   800       0.1700E+03 0.3006E+00   0.1507E+03 0.3261E+00 2660 3600  # out_L9Lt800Lto5ifread2
66 9   900       0.1693E+03 0.6831E+00   0.1497E+03 0.8006E+00 590 4000  # out_L9Lt900Lto5ifread0

#(L=9) Ltouter=0 ntot=10000 MR=800
66 9   100 	 0.2188E+03 0.5535E-01 	 0.2117E+03 0.6581E-01 4340 4500  # out_L9Lt100Lto0
66 9   200 	 0.2026E+03 0.8815E-01 	 0.1913E+03 0.1064E+00 2990 4500  # out_L9Lt200Lto0


#(L=10) Ltouter=5 ntot=10000 MR=200
66 10   100 	 0.1677E+03 0.9591E-01 	 0.1571E+03 0.1528E+00 3750 3480  # out_L10Lt100 #need more run 
66 10   200 	 0.1636E+03 0.1194E+00 	 0.1522E+03 0.1932E+00 2640 3480  # out_L10Lt200 #need more run 
66 10   300 	 0.1594E+03 0.1605E+00 	 0.1468E+03 0.2642E+00 2050 3000  # out_L10Lt300
66 10   400 	 0.1537E+03 0.2248E+00 	 0.1401E+03 0.3732E+00 1890 2050  # out_L10Lt400
66 10   500 	 0.1465E+03 0.7112E+00 	 0.1316E+03 0.6614E+00 1580 2400  # out_L10Lt500 #need more run 
66 10   600 	 0.1432E+03 0.3678E+00 	 0.1273E+03 0.5638E+00 1380 2000  # out_L10Lt600
#(L=10) Ltouter=5 ntot=10000 MR=800
66 10   450 	 0.1504E+03 0.2225E+00 	 0.1360E+03 0.2655E+00 1870 2700  # out_1L10Lt450Lto5
66 10   550 	 0.1443E+03 0.4870E+00 	 0.1288E+03 0.5502E+00 1640 2500  # out_1L10Lt550Lto5 #not converged 
66 10   650 	 0.1422E+03 0.4688E+00 	 0.1262E+03 0.5342E+00 1050 1600  # out_1L10Lt650Lto5
66 10   700 	 0.1405E+03 0.5132E+00 	 0.1243E+03 0.5854E+00 990 1800  # out_1L10Lt700Lto5
66 10   750 	 0.1398E+03 0.5207E+00 	 0.1232E+03 0.5997E+00 940 1800  # out_1L10Lt750Lto5
66 10   800 	 0.1401E+03 0.7083E+00 	 0.1227E+03 0.8133E+00 950 1050  # out_1L10Lt800Lto5
66 10   900 	 0.1410E+03 0.8474E+00 	 0.1237E+03 0.9460E+00 870 900  # out_1L10Lt900Lto5
#(L=10) Ltouter=5 re-calculation(2019/12/12 working on)
66 10   100      0.1680E+03 0.1357E+00   0.1572E+03 0.1576E+00 1920 4000  # out_L10Lt100Lto5ifread0
66 10   100      0.1679E+03 0.9205E-01   0.1571E+03 0.1081E+00 3750 4000  # out_L10Lt100Lto5ifread1
66 10   100      0.1679E+03 0.7415E-01   0.1572E+03 0.8676E-01 5580 4000  # out_L10Lt100Lto5ifread2
66 10   200      0.1636E+03 0.1582E+00   0.1520E+03 0.1846E+00 1470 4000  # out_L10Lt200Lto5ifread0
66 10   200      0.1639E+03 0.1062E+00   0.1523E+03 0.1252E+00 2860 4000  # out_L10Lt200Lto5ifread1
66 10   200      0.1637E+03 0.8557E-01   0.1521E+03 0.1019E+00 4250 4000  # out_L10Lt200Lto5ifread2
66 10   300      0.1595E+03 0.1969E+00   0.1471E+03 0.2285E+00 1180 4000  # out_L10Lt300Lto5ifread0
66 10   300      0.1595E+03 0.1311E+00   0.1471E+03 0.1531E+00 2300 4000  # out_L10Lt300Lto5ifread1
66 10   300      0.1595E+03 0.1048E+00   0.1471E+03 0.1211E+00 3420 4000  # out_L10Lt300Lto5ifread2
66 10   400      0.1532E+03 0.2705E+00   0.1397E+03 0.3136E+00 1000 3600  # out_L10Lt400Lto5ifread0
66 10   400      0.1534E+03 0.1854E+00   0.1397E+03 0.2097E+00 1950 3600  # out_L10Lt400Lto5ifread1
66 10   400      0.1530E+03 0.2177E+00   0.1393E+03 0.2338E+00 2900 3600  # out_L10Lt400Lto5ifread2
66 10   500      0.1471E+03 0.3209E+00   0.1324E+03 0.3973E+00 980 3000  # out_L10Lt500Lto5ifread0
66 10   500      0.1469E+03 0.2204E+00   0.1320E+03 0.2552E+00 1910 3000  # out_L10Lt500Lto5ifread1
66 10   500      0.1468E+03 0.1739E+00   0.1320E+03 0.2003E+00 2830 3000  # out_L10Lt500Lto5ifread2
66 10   600      0.1434E+03 0.3727E+00   0.1275E+03 0.4373E+00 870 3000  # out_L10Lt600Lto5ifread0
66 10   600      0.1431E+03 0.2766E+00   0.1271E+03 0.3324E+00 1690 3000  # out_L10Lt600Lto5ifread1
66 10   600      0.1428E+03 0.2306E+00   0.1269E+03 0.2626E+00 2510 3000  # out_L10Lt600Lto5ifread2
66 10   700      0.1407E+03 0.6635E+00   0.1245E+03 0.7277E+00 770 3000  # out_L10Lt700Lto5ifread0
66 10   700      0.1405E+03 0.3641E+00   0.1242E+03 0.4250E+00 1500 3000  # out_L10Lt700Lto5ifread1
66 10   700      0.1409E+03 0.2649E+00   0.1245E+03 0.3071E+00 2230 3000  # out_L10Lt700Lto5ifread2
66 10   800      0.1390E+03 0.5267E+00   0.1222E+03 0.6277E+00 660 3000  # out_L10Lt800Lto5ifread0
66 10   800      0.1384E+03 0.1812E+01   0.1215E+03 0.1890E+01 1280 3000  # out_L10Lt800Lto5ifread1
66 10   800      0.1382E+03 0.1589E+01   0.1217E+03 0.1406E+01 1900 3000  # out_L10Lt800Lto5ifread2
66 10   850      0.1398E+03 0.5896E+00   0.1234E+03 0.6929E+00 660 2400  # out_L10Lt850Lto5ifread0
66 10   850      0.1397E+03 0.5850E+00   0.1233E+03 0.6892E+00 660 2400  # out_L10Lt850Lto5ifread1
66 10   900      0.1407E+03 0.7773E+00   0.1239E+03 0.8892E+00 600 1800  # out_L10Lt900Lto5ifread0
66 10   900      0.1406E+03 0.5386E+00   0.1237E+03 0.5925E+00 1170 1800  # out_L10Lt900Lto5ifread1
66 10   900      0.1403E+03 0.4477E+00   0.1232E+03 0.5187E+00 1740 1800  # out_L10Lt900Lto5ifread2
66 10   950      0.1402E+03 0.7776E+00   0.1225E+03 0.9322E+00 600 2500  # out_L10Lt950Lto5ifread0
66 10   950      0.1402E+03 0.7673E+00   0.1227E+03 0.9193E+00 600 2500  # out_L10Lt950Lto5ifread1
66 10   1050     0.1477E+03 0.6750E+00   0.1300E+03 0.7724E+00 610 2500  # out_L10Lt1050Lto5ifread0
66 10   1050     NaN NaN         NaN NaN 610 2500  # out_L10Lt1050Lto5ifread1




#(L=10) Ltouter=0 ntot=10000 MR=800
66 10   100 	 0.1854E+03 0.5410E-01 	 0.1799E+03 0.6368E-01 5470 2700  # out_L10Lt100Lto0ifread0
66 10   200 	 0.1695E+03 0.8654E-01 	 0.1606E+03 0.9899E-01 3910 2700  # out_L10Lt200Lto0ifread0
66 10   300 	 0.1643E+03 0.1153E+00 	 0.1536E+03 0.1374E+00 2970 2700  # out_L10Lt300Lto0ifread0

#(L=11) Ltouter=5 ntot=10000 MR=200
66 11   100 	 0.1425E+03 0.1016E+00 	 0.1336E+03 0.1565E+00 2740 3480  # out_L11Lt100
66 11   200 	 0.1385E+03 0.1279E+00 	 0.1288E+03 0.1978E+00 1950 3360  # out_L11Lt200
66 11   300 	 0.1362E+03 0.1604E+00 	 0.1259E+03 0.2619E+00 1520 3000  # out_L11Lt300
66 11   400 	 0.1329E+03 0.2283E+00 	 0.1216E+03 0.3652E+00 1400 2000  # out_L11Lt400
66 11   500 	 0.1286E+03 0.3131E+00 	 0.1164E+03 0.5012E+00 1090 1800  # out_L11Lt500
66 11   600 	 0.1233E+03 0.8947E+00 	 0.1103E+03 0.1148E+01 950 1500  # out_L11Lt600
#(L=11) Ltouter=5 ntot=10000 MR=800
66 11   550 	 0.1260E+03 0.3159E+00 	 0.1133E+03 0.3699E+00 1150 1800  # out_L11Lt550
#66 11   600 	 0.1238E+03 0.3707E+00 	 0.1107E+03 0.5688E+00 950 1800  # out_1L11Lt600
66 11   600 	 0.1233E+03 0.6509E+00 	 0.1102E+03 0.8299E+00 1080 1800  # out_L11Lt600
66 11   650 	 0.1218E+03 0.4448E+00 	 0.1082E+03 0.5586E+00 1110 1800  # out_L11Lt650
66 11   700 	 0.1206E+03 0.6994E+00 	 0.1066E+03 0.7552E+00 790 1200  # out_L11Lt700
66 11   800 	 0.1201E+03 0.6198E+00 	 0.1060E+03 0.7470E+00 710 1200  # out_L11Lt800
66 11   900 	 0.1173E+03 0.7992E+00 	 0.1026E+03 0.8433E+00 650 1200  # out_L11Lt900
66 11   950 	 0.1175E+03 0.7414E+00 	 0.1016E+03 0.9219E+00 790 1200  # out_L11Lt950
#66 11   1000 	 0.1261E+03 0.8735E+00 	 0.1101E+03 0.9970E+00 620 1120  # out_1L11Lt1000
66 11   1000 	 0.1260E+03 0.6056E+00 	 0.1099E+03 0.6868E+00 820 1400  # out_L11Lt1000
66 11   1050 	 0.1256E+03 0.7750E+00 	 0.1096E+03 0.8859E+00 830 1400  # out_L11Lt1050

#(L=11) Ltouter=5 re-calculation(2019/12/12 still working on)
66 11   100      0.1425E+03 0.1311E+00   0.1336E+03 0.1497E+00 1460 4400  # out_L11Lt100Lto5ifread0
66 11   100      0.1425E+03 0.8861E-01   0.1335E+03 0.1010E+00 2810 4400  # out_L11Lt100Lto5ifread1
66 11   100      0.1425E+03 0.7251E-01   0.1335E+03 0.8317E-01 4140 4400  # out_L11Lt100Lto5ifread2
66 11   200      0.1387E+03 0.1629E+00   0.1291E+03 0.1886E+00 1110 4000  # out_L11Lt200Lto5ifread0
66 11   200      0.1387E+03 0.1085E+00   0.1291E+03 0.1249E+00 2120 4000  # out_L11Lt200Lto5ifread1
66 11   200      0.1387E+03 0.8881E-01   0.1291E+03 0.1018E+00 3150 4000  # out_L11Lt200Lto5ifread2
66 11   300      0.1363E+03 0.2180E+00   0.1258E+03 0.2524E+00 910 3600  # out_L11Lt300Lto5ifread0
66 11   300      0.1361E+03 0.1406E+00   0.1256E+03 0.1645E+00 1750 3600  # out_L11Lt300Lto5ifread1
66 11   300      0.1361E+03 0.1121E+00   0.1257E+03 0.1321E+00 2590 3600  # out_L11Lt300Lto5ifread2
66 11   400      0.1332E+03 0.2700E+00   0.1218E+03 0.3095E+00 850 2700  # out_L11Lt400Lto5ifread0
66 11   400      0.1332E+03 0.1753E+00   0.1219E+03 0.1999E+00 1640 2700  # out_L11Lt400Lto5ifread1
66 11   400      0.1331E+03 0.1398E+00   0.1218E+03 0.1611E+00 2430 2700  # out_L11Lt400Lto5ifread2
66 11   500      0.1284E+03 0.7424E+00   0.1164E+03 0.7302E+00 740 3000  # out_L11Lt500Lto5ifread0
66 11   500      0.1284E+03 0.3369E+00   0.1166E+03 0.3447E+00 1420 3000  # out_L11Lt500Lto5ifread1
66 11   500      0.1284E+03 0.2310E+00   0.1166E+03 0.2424E+00 2100 3000  # out_L11Lt500Lto5ifread2
66 11   600      0.1221E+03 0.1238E+01   0.1086E+03 0.1591E+01 610 2400  # out_L11Lt600Lto5ifread0
66 11   600      0.1229E+03 0.5740E+00   0.1096E+03 0.7006E+00 1170 2400  # out_L11Lt600Lto5ifread1
66 11   600      0.1233E+03 0.3807E+00   0.1099E+03 0.4604E+00 1730 2400  # out_L11Lt600Lto5ifread2
66 11   700      0.1200E+03 0.6688E+00   0.1061E+03 0.7246E+00 580 2250  # out_L11Lt700Lto5ifread0
66 11   700      0.1197E+03 0.4019E+00   0.1054E+03 0.4512E+00 1120 2250  # out_L11Lt700Lto5ifread1
66 11   700      0.1193E+03 0.3124E+00   0.1051E+03 0.3594E+00 1660 2250  # out_L11Lt700Lto5ifread2
66 11   800      0.1192E+03 0.6000E+00   0.1050E+03 0.7083E+00 530 2400  # out_L11Lt800Lto5ifread0
66 11   800      0.1182E+03 0.9020E+00   0.1040E+03 0.1008E+01 1020 2400  # out_L11Lt800Lto5ifread1
66 11   800      0.1184E+03 0.6583E+00   0.1039E+03 0.8754E+00 1510 2400  # out_L11Lt800Lto5ifread2
66 11   850      0.1181E+03 0.1145E+01   0.1029E+03 0.1609E+01 500 2400  # out_L11Lt850Lto5ifread0
66 11   900      0.1173E+03 0.8122E+00   0.1029E+03 0.9112E+00 480 2400  # out_L11Lt900Lto5ifread0
66 11   900      0.1138E+03 0.4098E+01   0.1002E+03 0.2957E+01 930 2400  # out_L11Lt900Lto5ifread1
66 11   900      0.1154E+03 0.2391E+01   0.1014E+03 0.1737E+01 1380 2400  # out_L11Lt900Lto5ifread2
66 11   950      0.1179E+03 0.8708E+00   0.1024E+03 0.1152E+01 460 2500  # out_L11Lt950Lto5ifread0
66 11   1000     0.1252E+03 0.7841E+00   0.1089E+03 0.9245E+00 460 2500  # out_L11Lt1000Lto5ifread0
66 11   1050     0.1258E+03 0.1204E+01   0.1099E+03 0.1408E+01 460 2500  # out_L11Lt1050Lto5ifread0



